sex age height weight bmi
1 99 118 20.9 15.01
0 213 161.4 60.7 23.3
1 46 96.7 15 16.04
0 145 156.1 47.9 19.66
0 74 121.7 24.9 16.81
0 186 173.6 70.2 23.29
1 67 102.5 14 13.33
0 176 172.9 71.7 23.98
0 219 169.7 57.7 20.04
0 74 116.3 24 17.74
1 65 103.4 17.4 16.27
0 187 176.2 63 20.29
0 31 96.4 15.4 16.57
0 198 168.5 48.6 17.12
0 223 179.6 63.8 19.78
1 159 165.2 64.6 23.67
1 223 164.1 58.6 21.76
0 147 146.4 42.7 19.92
0 193 178.7 73.4 22.99
1 36 95.4 14.44 15.87
0 157 169.5 95.84 33.36
0 189 174.2 70.9 23.36
1 125 146.6 44.9 20.89
0 168 174.2 58.4 19.24
0 155 171.4 59.6 20.29
0 46 96.3 15.8 17.04
1 108 130 28.3 16.75
1 160 149.7 47.2 21.06
1 54 105.8 19.6 17.51
0 176 169.5 66.5 23.15
0 61 117.6 24.5 17.72
1 62 113.9 22.6 17.42
1 100 131.1 43.6 25.37
0 98 129 31.9 19.17
0 46 100.5 15.9 15.74
1 114 136.3 35.6 19.16
1 94 121.2 20.3 13.82
1 173 161.4 44 16.89
0 109 132.9 31.1 17.61
0 149 163.3 66.8 25.05
1 83 119 36.5 25.78
0 139 160.3 60.7 23.62
1 198 155.2 48.8 20.26
0 196 175.7 123.4 39.97
0 188 182.8 85 25.44
1 189 166.1 66.8 24.21
0 79 113 18.2 14.25
1 170 161.9 62.5 23.84
1 187 159.5 62 24.37
0 170 159.2 44.6 17.6
1 198 154 50.7 21.38
0 221 182.7 91.3 27.35
1 231 160.1 58.1 22.67
0 117 139.3 35.1 18.09
0 26 86.2 12.1 16.28
1 157 160.5 48.9 18.98
1 174 163.5 63.6 23.79
0 146 176.8 73.3 23.45
0 130 139.5 31 15.93
1 228 152.3 42.8 18.45
1 84 134 38.4 21.39
1 120 144.9 38.4 18.29
0 77 122.6 23.7 15.77
1 127 144.4 40.3 19.33
1 163 155.3 64.8 26.87
1 24 87.4 13.5 17.67
0 223 173.1 69.1 23.06
1 191 154 58.1 24.5
1 107 128.4 25.4 15.41
1 209 173.3 53.7 17.88
0 143 151.1 45.7 20.02
0 66 115.5 17.4 13.04
0 127 147.1 35.2 16.27
0 150 153.3 44.4 18.89
0 164 166 57.6 20.9
0 50 103.2 14.8 13.9
1 217 167.7 71.3 25.35
0 196 184.4 68.2 20.06
1 62 111 18.6 15.1
1 147 157.3 57.5 23.24
1 61 111.4 19 15.31
0 134 151.5 54.44 23.72
0 73 119.2 21.7 15.27
1 150 152.9 57.4 24.55
0 233 170.5 77.4 26.63
0 232 168.2 82.7 29.23
0 232 178.3 98.6 31.02
1 236 157.6 70.7 28.46
0 181 167.6 79.4 28.27
1 31 91.9 13.4 15.87
0 154 153.9 74.8 31.58
0 81 128.8 34.7 20.92
1 182 163.9 62.3 23.19
0 183 173.8 88.8 29.4
1 89 137.8 45.8 24.12
1 168 163.5 60.1 22.48
0 209 174.8 56.5 18.49
0 89 130.8 29.7 17.36
1 201 157 64.3 26.09
0 169 159.4 52.1 20.51
1 232 160.9 61.74 23.85
1 163 158.3 45.5 18.16
0 222 164.8 54.5 20.07
0 201 184.5 115 33.78
0 143 146.6 57.7 26.85
0 197 174.1 84.6 27.91
0 184 180 99.4 30.68
0 195 165.1 68.8 25.24
1 209 162.4 99.1 37.58
1 121 150.9 52.9 23.23
0 208 173.3 54.3 18.08
0 126 141.2 48.7 24.43
1 75 108.2 16.7 14.26
0 47 99 17 17.35
1 52 107.7 19.4 16.73
1 36 92.7 15.9 18.5
0 83 122.1 24 16.1
1 164 166 51.9 18.83
1 186 146.4 46.5 21.7
1 226 160.8 58.3 22.55
0 170 173.8 67.8 22.45
1 78 122.9 29.2 19.33
0 163 143.4 42.2 20.52
0 180 174.7 107.3 35.16
0 157 147.5 34.5 15.86
1 148 153.4 46 19.55
1 170 159.2 80.4 31.72
0 96 131.5 25.1 14.52
1 210 166.4 63 22.75
0 27 93.4 15.04 17.24
1 157 150.5 42 18.54
1 191 174.7 69.3 22.71
1 138 147.3 47.3 21.8
0 143 153.7 48.2 20.4
1 110 138.3 37.4 19.55
1 93 132.6 29.44 16.74
1 124 140.9 32 16.12
1 138 153.2 43.8 18.66
0 177 148 57.8 26.39
1 42 101.6 16.1 15.6
1 147 157.4 44.4 17.92
0 94 128 21.8 13.31
0 193 169.9 58.9 20.4
0 223 177.6 57.6 18.26
1 216 161.8 62.9 24.03
0 155 164.8 48.9 18.01
1 197 164 43.1 16.02
0 205 170 91.6 31.7
0 98 131.6 25.2 14.55
0 208 175.3 62.5 20.34
0 143 159.9 67.9 26.56
1 161 155.2 52.5 21.8
0 165 185.3 74.3 21.64
0 202 177 62.5 19.95
0 35 101.6 15.4 14.92
1 58 109 19.1 16.08
0 47 103.5 15.7 14.66
1 154 151.5 45.04 19.62
1 192 168.3 55.5 19.59
0 96 129.2 35.2 21.09
0 60 105.4 17.4 15.66
0 86 121.4 31.2 21.17
0 177 168.8 67 23.51
1 159 156.5 53.8 21.97
0 55 107.4 19.7 17.08
0 189 165.3 130.44 47.74
1 180 161.9 53.3 20.33
1 207 156 50.1 20.59
1 163 157.2 59.7 24.16
0 205 181.3 75.8 23.06
0 41 100.9 16.5 16.21
0 198 179.7 82.4 25.52
1 73 119.9 24.2 16.83
1 235 162.5 60.5 22.91
0 83 128.4 26.5 16.07
1 164 168.4 107 37.73
0 75 116.8 18.2 13.34
1 58 102.3 15.2 14.52
1 220 158.2 49.9 19.94
0 188 167.4 64.9 23.16
0 103 134.4 35.1 19.43
0 202 177.3 82.7 26.31
0 60 109.1 18.5 15.54
0 171 164.4 54.9 20.31
0 189 175.9 83.6 27.02
1 171 164 56.5 21.01
1 95 127.6 25.2 15.48
1 195 156.7 44.2 18
0 66 120.4 24.2 16.69
1 221 156.6 62.3 25.4
0 223 180.6 70.7 21.68
0 162 156.2 46.2 18.94
0 54 106.2 18.6 16.49
0 76 117.1 19.1 13.93
0 121 155.4 66.7 27.62
1 49 104.6 15.5 14.17
1 147 159.6 64.7 25.4
1 122 147.3 35.8 16.5
0 138 154.6 38.4 16.07
0 108 130.5 29.7 17.44
1 237 163.2 92.2 34.62
1 177 165.7 53.3 19.41
0 146 140.9 31.1 15.67
0 207 169.5 79.9 27.81
1 200 157.2 75.3 30.47
1 153 163.3 44.1 16.54
0 236 172.2 75.8 25.56
1 150 151 38.9 17.06
0 135 141.1 29.6 14.87
0 66 116.3 25.2 18.63
1 184 160.5 56.8 22.05
0 197 184 82.5 24.37
0 43 103.6 18.9 17.61
1 26 84 9.4 13.32
1 48 102.3 15.5 14.81
1 162 164.8 56.2 20.69
1 35 101 19.2 18.82
0 233 161.2 52.3 20.13
0 192 174.2 72.1 23.76
0 213 188.6 65.7 18.47
0 52 111 20.2 16.39
0 132 145.3 47.2 22.36
0 205 172.8 65.4 21.9
1 174 154.8 50.8 21.2
1 180 150.9 51.5 22.62
1 161 166.8 74.3 26.71
0 172 150.4 35.7 15.78
0 195 172.7 127.1 42.61
0 179 170 76.7 26.54
1 198 156.4 64.6 26.41
0 98 133.7 33.8 18.91
0 191 176.3 70.3 22.62
0 227 184.5 89.3 26.23
1 172 173.8 91.7 30.36
0 146 159.3 45.6 17.97
0 93 122.3 21.84 14.6
0 232 171.6 57.6 19.56
1 62 113.6 25.9 20.07
0 139 143.1 33.4 16.31
0 25 85.9 11.4 15.45
1 216 162.1 59.4 22.61
0 72 114.3 19.9 15.23
1 138 144.4 56.8 27.24
1 178 165.3 64.7 23.68
0 222 174.3 76.5 25.18
0 212 172.6 174.6 58.61
1 151 161.3 55 21.14
0 221 179.2 91.4 28.46
0 204 165.9 71.6 26.01
0 106 129 27.84 16.73
0 161 150.1 40.3 17.89
1 203 157.6 55.3 22.26
1 130 155.2 39.8 16.52
0 170 167.6 70.2 24.99
0 87 122.6 27.8 18.5
1 55 110.7 19.1 15.59
0 112 134 35.5 19.77
0 232 168.9 66.2 23.21
1 200 158.7 54.5 21.64
0 185 170.9 45.8 15.68
0 111 141.5 44.3 22.13
0 117 143.8 42.7 20.65
0 236 178.9 86.3 26.96
1 93 116.7 24.4 17.92
0 229 162.1 50.7 19.29
0 40 95.7 14.5 15.83
0 208 168.3 69.4 24.5
0 123 145.4 47.8 22.61
0 99 125.2 24.6 15.69
0 106 135.1 31.4 17.2
1 175 162.4 57.1 21.65
0 74 111.5 15.1 12.15
1 119 134.4 31.1 17.22
1 224 170.7 59.2 20.32
1 137 159.4 48.9 19.25
0 44 105.3 17.1 15.42
1 120 149.2 52.7 23.67
1 40 103.2 17.2 16.15
0 223 169.1 60.2 21.05
1 203 160.7 52.8 20.45
1 142 146.4 36 16.8
0 47 94.3 13.3 14.96
0 183 176.8 75.7 24.22
0 224 178.9 85.7 26.78
1 99 124.1 23.6 15.32
0 223 168.7 63.9 22.45
1 176 164 71.84 26.71
0 82 116.3 21.8 16.12
1 50 105.5 17.8 15.99
1 136 149.3 33.7 15.12
0 158 140.6 38 19.22
0 224 174.4 73.3 24.1
0 120 140.4 45.4 23.03
1 130 149.1 86.4 38.86
1 202 164.2 68.4 25.37
1 157 156.4 41.6 17.01
1 35 93.8 16.4 18.64
0 87 133.6 38 21.29
1 149 157.9 49.5 19.85
1 112 143.8 31 14.99
0 191 185.3 77.9 22.69
0 200 162.1 56.7 21.58
0 207 179 67.5 21.07
0 180 168.5 56.6 19.94
0 25 84 11.8 16.72
1 213 162 58.1 22.14
0 193 168.5 69.7 24.55
1 213 152.3 57.5 24.79
1 177 169.4 79.7 27.77
0 232 172.8 68.6 22.97
1 81 110.4 18.5 15.18
1 231 161.1 44.8 17.26
1 206 159.7 55.6 21.8
1 124 144.9 71.2 33.91
0 237 156.1 54.6 22.41
0 230 179.8 97.1 30.04
1 157 150 50.8 22.58
0 200 171 63.6 21.75
1 89 123.5 22.5 14.75
1 162 160.8 69.2 26.76
1 56 106.9 18.04 15.79
1 193 155 48.4 20.15
1 79 111.6 17 13.65
0 179 165.6 58.8 21.44
1 178 160.1 77.4 30.2
1 101 130.5 25.8 15.15
1 225 151.6 58.8 25.58
0 180 172.6 53.1 17.82
0 34 98.3 18.2 18.83
0 96 124.6 23.3 15.01
1 192 150.8 56.7 24.93
0 235 174.2 73.3 24.16
0 236 177.9 73.3 23.16
0 39 93.8 13.5 15.34
0 54 106.3 18.2 16.11
1 115 151.1 32.1 14.06
1 187 165.1 52.5 19.26
1 232 153.9 62 26.18
1 183 157.2 49.2 19.91
0 117 135.5 31.1 16.94
0 190 180.1 120.2 37.06
0 206 165.9 46.9 17.04
1 65 112.4 21.6 17.1
0 154 178.8 54.8 17.14
1 236 162 79.3 30.22
0 216 174.4 64.5 21.21
0 165 163.5 55.7 20.84
0 204 190.8 124.2 34.12
1 163 150.8 57.7 25.37
1 196 161.2 49.9 19.2
0 33 90 14.2 17.53
1 216 161.8 48.9 18.68
1 48 94.3 14.6 16.42
0 198 174.2 54.1 17.83
0 142 157.5 60.4 24.35
0 238 182.4 71.3 21.43
1 227 164.3 68.5 25.38
1 102 138.4 36.5 19.06
1 236 162.4 63.2 23.96
1 115 128.1 24.2 14.75
0 88 128.9 26.2 15.77
0 150 159.3 71.9 28.33
0 54 110.7 17.7 14.44
0 173 173.7 91.4 30.29
0 175 161.3 61.2 23.52
1 213 153.3 49.1 20.89
0 148 151.8 45.8 19.88
0 174 161.3 43.4 16.68
0 51 108 19.4 16.63
1 214 146.1 53.74 25.18
0 82 122.2 24.5 16.41
1 197 162.2 49.4 18.78
0 161 149.7 42.4 18.92
0 229 175 72.9 23.8
1 47 97.9 14.7 15.34
1 200 170.6 79.3 27.25
1 210 161.5 59.1 22.66
0 26 91.5 12.9 15.41
1 199 150 53.4 23.73
0 170 171.4 61.2 20.83
0 110 134.4 28.9 16
0 210 173.9 66.9 22.12
1 164 162.1 45 17.13
1 156 155.4 97.3 40.29
0 119 139.5 28 14.39
1 158 149.3 36.1 16.2
0 234 173.9 58.14 19.23
1 137 145.1 33.3 15.82
0 127 143.8 50.1 24.23
0 237 185 86.4 25.24
0 195 169.8 77.8 26.98
1 52 107.3 16.9 14.68
0 205 179.4 80.5 25.01
1 168 163.4 70.8 26.52
0 150 147.9 46 21.03
1 31 87.4 11.4 14.92
0 130 145 46.5 22.12
0 117 141.5 43.54 21.75
1 72 109.6 17.8 14.82
1 166 158.6 44.9 17.85
1 77 111 18.6 15.1
0 148 158.4 37.8 15.07
0 209 157.1 48.6 19.69
0 229 166.6 54.7 19.71
1 46 96 13.6 14.76
1 209 154.3 47.04 19.76
0 181 184.8 56.1 16.43
1 134 145.9 49.8 23.39
0 148 171.5 74.6 25.36
0 56 110.4 19.2 15.75
0 84 126.1 24.5 15.41
0 157 145.3 33.9 16.06
1 179 157.6 58.8 23.67
1 59 111.7 17.8 14.27
0 123 148.5 48.8 22.13
0 34 100.6 14.6 14.43
0 94 124.9 23.2 14.87
1 224 168.3 66.8 23.58
0 115 144.1 43.9 21.14
0 42 99.3 14.8 15.01
0 207 171.8 69.2 23.45
0 137 138.1 30.6 16.04
0 214 171 81.4 27.84
0 131 148.7 59.54 26.93
0 196 166.3 78.8 28.49
0 87 127.9 33.9 20.72
1 233 159.1 107.7 42.55
1 74 117.1 19.3 14.07
0 156 142.3 52 25.68
0 51 110 20.4 16.86
1 145 167.2 93.5 33.45
1 203 166.3 113.8 41.15
1 142 150.1 57.1 25.34
1 146 148.3 33.9 15.41
1 169 154.4 56 23.49
0 210 175.2 63.1 20.56
1 31 96.5 16.6 17.83
0 182 165.9 53 19.26
1 122 149.4 39.9 17.88
0 220 172.3 91.9 30.96
0 221 180.5 64.3 19.74
0 76 118 21.8 15.66
1 177 165.1 81.2 29.79
1 154 157.5 48.8 19.67
1 207 151.9 50.6 21.93
0 125 140.7 39.9 20.16
1 161 159.9 53.14 20.78
1 161 157.1 73.4 29.74
1 117 123.1 35.2 23.23
1 34 95.2 14 15.45
1 174 163.2 60.4 22.68
1 195 166 55.8 20.25
1 95 119.4 24 16.83
0 93 125.9 27.7 17.48
1 195 167.2 90.8 32.48
0 84 131.5 32.6 18.85
1 48 103.1 16.3 15.33
0 110 135.1 30.1 16.49
1 55 100.3 18.1 17.99
1 190 155.7 75.14 31
0 90 129.6 31.1 18.52
0 235 166.1 69.8 25.3
0 185 169.3 56.9 19.85
1 161 163.8 78.2 29.15
1 31 93.9 15 17.01
1 36 95.5 14.3 15.68
0 117 146.1 60 28.11
1 95 122.5 23.24 15.49
0 56 107.1 19.1 16.65
0 119 138.1 31.8 16.67
0 106 138.7 31.9 16.58
1 32 86.4 13.1 17.55
1 235 162 82.6 31.47
1 172 164.2 59.9 22.22
0 237 171.7 88.9 30.16
0 60 114.7 23.6 17.94
0 116 142.7 52.1 25.59
1 167 152.3 48.8 21.04
1 215 156.8 45.8 18.63
0 33 94 14.9 16.86
1 145 149.2 43.7 19.63
0 44 102.2 14.1 13.5
0 108 127.1 23.7 14.67
1 101 127.9 25.1 15.34
1 32 90.5 12.1 14.77
0 205 168.1 56.5 19.99
1 24 84.2 12.1 17.07
0 137 135.7 32.04 17.4
0 90 117.2 20.4 14.85
0 95 134.7 35.4 19.51
0 157 155.8 61.2 25.21
1 208 161 60.6 23.38
1 163 172.8 72.9 24.41
1 192 167.9 80.5 28.56
1 201 156.3 57.9 23.7
1 36 94.4 12 13.47
1 34 88.1 11.7 15.07
0 183 180.5 77.4 23.76
0 223 155 54.4 22.64
0 100 129.9 23.2 13.75
1 195 169.8 79.4 27.54
0 81 110.3 19.04 15.65
0 153 145.7 34.9 16.44
0 147 149 45.2 20.36
0 121 130.4 27.4 16.11
1 195 150 69.3 30.8
0 233 172.5 70.3 23.63
0 167 157.7 56.3 22.64
1 232 162.4 86 32.61
0 106 144.8 41.5 19.79
1 230 163.1 51.4 19.32
0 172 161.2 44.6 17.16
1 235 161.2 82.24 31.65
0 232 174.7 65.1 21.33
1 231 171.2 74.8 25.52
1 26 92.5 20.4 23.84
1 219 160.2 54.6 21.27
0 228 167.1 63.34 22.68
1 206 158.1 66 26.4
1 218 162.6 55 20.8
0 50 103.5 16.7 15.59
0 182 175.3 100.3 32.64
0 120 137.4 43 22.78
0 105 129.6 25 14.88
1 177 170.5 73.6 25.32
1 204 169.4 65.4 22.79
1 128 154.8 37.9 15.82
0 229 172.3 60 20.21
0 238 168.9 122.64 42.99
0 86 130.4 22.9 13.47
1 146 147.4 42.4 19.52
0 52 99.4 15.7 15.89
0 164 165.1 83.9 30.78
1 179 162.4 89.4 33.9
0 162 160.6 43.1 16.71
0 107 140.5 32.8 16.62
1 124 140.7 32.8 16.57
0 155 163.6 45.7 17.07
0 161 171.6 82.2 27.91
0 132 132.4 27.8 15.86
1 222 158.3 65.9 26.3
1 191 166.5 92.94 33.53
0 167 171.4 93.9 31.96
0 172 170 47.9 16.57
0 237 167.9 61.2 21.71
0 227 180.6 101.2 31.03
0 123 125.8 30.3 19.15
1 237 170.6 87.1 29.93
0 226 173 62.3 20.82
1 238 150.8 71 31.22
1 169 157.5 86.7 34.95
0 205 180 110.7 34.17
1 232 151.1 65.34 28.62
1 205 169 123.2 43.14
0 79 120.3 22.3 15.41
1 237 148.5 46.3 21
1 57 106.5 16.6 14.64
0 124 143.7 36.2 17.53
0 89 120 20.2 14.03
1 106 138.4 44.3 23.13
0 162 165.9 54.6 19.84
1 218 161.5 60.8 23.31
1 184 163.5 86.8 32.47
1 193 163.2 91.5 34.35
0 144 146.1 42.8 20.05
1 168 169.5 134.4 46.78
0 69 115.2 21.8 16.43
1 174 166 60.1 21.81
0 219 169.5 74.2 25.83
0 147 149.7 53.1 23.69
1 215 154.7 71.9 30.04
0 24 86.2 13.8 18.57
1 125 131.7 23.7 13.66
0 153 162.7 67.7 25.57
0 205 175.3 81.5 26.52
1 159 150.5 37.54 16.57
1 186 165.5 48.4 17.67
0 226 172.2 104.4 35.21
0 232 171.7 62.2 21.1
1 134 156.5 60.5 24.7
1 192 159.2 50.4 19.89
1 154 158.9 64.4 25.51
1 176 158.4 74.34 29.63
0 191 167.4 59.7 21.3
1 237 167.5 63.4 22.6
1 224 151.5 80.3 34.99
0 233 159.2 66.8 26.36
0 165 164.3 48.3 17.89
0 213 176.6 64.3 20.62
0 223 174.3 76.4 25.15
0 30 93.6 14.9 17.01
0 159 154.8 69.4 28.96
0 96 138.1 25.74 13.5
1 232 155.7 53.6 22.11
1 184 156.5 45.5 18.58
1 207 156 59.7 24.53
1 85 120.3 22.3 15.41
1 114 138.5 37 19.29
1 58 112.4 20.9 16.54
1 228 149.9 66.9 29.77
1 226 171.9 73.1 24.74
0 213 182.6 136.6 40.97
1 188 172.4 71.3 23.99
0 157 168.7 77.3 27.16
0 159 168 59.5 21.08
1 32 89.2 12.2 15.33
0 114 132.7 42.8 24.31
1 120 137.9 29.8 15.67
0 101 139.4 45.9 23.62
1 190 154.6 66 27.61
0 177 178.3 90.4 28.44
0 172 158.2 43 17.18
1 220 168.1 59.7 21.13
0 87 120.7 21.7 14.9
0 202 169.6 57.8 20.09
1 108 141.9 33.5 16.64
1 207 160.3 77.3 30.08
0 106 130.6 26.3 15.42
0 204 181.8 168.8 51.07
0 105 129.6 24.8 14.77
0 231 166 63.6 23.08
0 190 172 66.5 22.48
0 114 134.8 52.5 28.89
0 130 149.4 68.6 30.73
1 24 86 10.2 13.79
0 215 182.9 71.5 21.37
1 57 108.7 20 16.93
1 119 147.1 41.3 19.09
1 29 91 13.7 16.54
1 164 161.6 59.6 22.82
1 162 168.6 60 21.11
1 185 167.5 57.3 20.42
1 181 162 58.3 22.21
1 120 132.8 35 19.85
0 152 152.1 59.6 25.76
0 27 87 12.7 16.78
0 53 104.5 16.6 15.2
1 207 155.4 60.5 25.05
1 186 171.8 54.3 18.4
0 97 122.3 24.5 16.38
1 146 157 86.3 35.01
1 65 109.3 19.2 16.07
1 214 163 75.9 28.57
0 131 148.9 50.3 22.69
0 161 159.1 64.1 25.32
1 98 127.9 25.3 15.47
0 192 158.5 42.7 17
1 151 155.6 52 21.48
0 89 135.9 32.9 17.81
0 122 142.5 32.3 15.91
1 64 112 25 19.93
0 198 162.7 59.6 22.51
1 197 156.6 43.3 17.66
1 176 159.3 83.1 32.75
1 35 94.6 17.64 19.71
0 174 171.2 58.9 20.1
1 236 164.5 62.3 23.02
0 205 165.8 65 23.65
0 44 98.8 14.7 15.06
1 88 123.7 24.4 15.95
1 25 88 13.2 17.05
1 31 90.4 13.5 16.52
1 177 158.9 55.04 21.8
0 86 133.1 32.8 18.51
0 150 148 32.4 14.79
1 202 152.1 51.1 22.09
0 182 180.2 86.9 26.76
1 123 143.3 52.3 25.47
1 158 155 43.2 17.98
0 145 144 34.4 16.59
0 104 135.1 38.8 21.26
0 231 183 76.5 22.84
0 202 169.2 51.1 17.85
0 195 182.3 69.1 20.79
1 141 150.7 45.34 19.96
0 165 170.8 74.1 25.4
1 76 117.3 22.6 16.43
0 166 169.4 57.1 19.9
1 69 121.7 20.6 13.91
0 96 135.2 39.6 21.66
0 179 170.1 50.4 17.42
0 197 162.2 56.7 21.55
0 178 154.9 45.3 18.88
0 179 179.8 94.5 29.23
0 34 89.2 12.1 15.21
0 45 102.8 19.14 18.11
0 194 171.7 148.6 50.41
1 97 132.5 29.6 16.86
0 146 144.9 34.8 16.57
0 98 133.6 35.5 19.89
1 82 126 27.4 17.26
1 138 129.1 30.4 18.24
0 29 88.8 13.4 16.99
0 216 173.2 56.7 18.9
1 57 99.6 15.6 15.73
0 127 144.9 41.2 19.62
1 157 154.9 39.8 16.59
1 230 161 48 18.52
0 189 192.3 95.4 25.8
0 45 102.3 17.6 16.82
1 64 116.2 26.9 19.92
1 237 161.6 76.2 29.18
0 59 108.8 20.1 16.98
1 144 164.9 53 19.49
0 126 151.1 48.5 21.24
0 107 131.2 26.3 15.28
0 144 139.9 29.5 15.07
1 123 137.1 27.7 14.74
0 78 117.2 24.54 17.87
0 200 172.7 78.8 26.42
0 137 142.3 30.2 14.91
1 155 162.2 57.6 21.89
0 160 151.7 32 13.91
1 101 135.7 26.3 14.28
1 31 91.1 13.2 15.91
1 214 148.8 62.94 28.43
0 222 197.2 116.9 30.06
0 237 177.7 65.3 20.68
1 170 172.6 73 24.5
1 38 93.4 13.4 15.36
0 195 161.8 51.6 19.71
0 123 138.4 35.1 18.32
1 67 117 17.6 12.86
0 152 140.2 34.2 17.4
1 28 87.4 13.6 17.8
1 24 81.8 10.8 16.14
1 192 168 50.9 18.03
0 131 133.6 30.6 17.14
0 162 163.3 67.3 25.24
0 86 116.8 21.5 15.76
1 125 147.5 43.5 19.99
0 179 155.3 48.9 20.28
0 61 110.7 20.1 16.4
0 148 148.3 44.7 20.32
0 69 116.6 23.3 17.14
1 66 97.6 11.5 12.07
1 184 162.2 60.3 22.92
0 60 108.9 18.4 15.52
0 131 146.7 43.6 20.26
0 36 91.7 12.8 15.22
0 200 172.1 60.6 20.46
0 208 168.1 74.74 26.45
0 70 113.2 20.2 15.76
0 88 130.9 29.5 17.22
1 181 167.8 74.8 26.57
0 179 173.4 54.1 17.99
1 201 171.9 81.7 27.65
1 45 91.7 13 15.46
0 27 84.7 9.9 13.8
1 34 99.8 17.8 17.87
1 202 160.5 59.9 23.25
0 35 99.3 15.4 15.62
1 128 152.2 54 23.31
0 184 175.8 61.2 19.8
0 70 121.1 25.5 17.39
1 226 152.3 43.6 18.8
1 123 140.1 38.4 19.56
0 160 166.2 81.24 29.41
1 26 83.7 11.7 16.7
1 34 91.6 12.3 14.66
